Service Category,Service Name,AWS,Azure,GCP,Oracle Cloud,IBM Cloud,Notes
Compute,VM Instances,EC2,Virtual Machines,Compute Engine,OCI Compute,IBM Virtual Servers,Basic virtual machine instances
Compute,Container Orchestration,EKS,AKS,GKE,OKE,IBM Kubernetes Service,Managed Kubernetes services
Compute,Serverless Functions,Lambda,Azure Functions,Cloud Functions,Oracle Functions,IBM Cloud Functions,Event-driven serverless computing
Storage,Object Storage,S3,Blob Storage,Cloud Storage,Object Storage,IBM Cloud Object Storage,Scalable object storage
Storage,Block Storage,EBS,Managed Disks,Persistent Disk,Block Volume,IBM Block Storage,Block-level storage for VMs
Storage,File Storage,EFS,Azure Files,Cloud Filestore,File Storage,IBM File Storage,Managed file systems
Database,Relational Database,RDS,Azure SQL Database,Cloud SQL,Oracle Database,IBM Db2,Managed relational databases
Database,NoSQL Database,DynamoDB,Cosmos DB,Firestore,Oracle NoSQL,IBM Cloudant,Document and key-value stores
Database,Data Warehouse,Redshift,Synapse Analytics,BigQuery,Oracle Autonomous Data Warehouse,IBM Db2 Warehouse,Analytics and data warehousing
Networking,Load Balancer,ALB/NLB,Load Balancer,Cloud Load Balancing,Load Balancer,IBM Cloud Load Balancer,Traffic distribution
Networking,CDN,CloudFront,CDN,Cloud CDN,Edge Services,IBM Cloud CDN,Content delivery networks
Networking,VPN,VPN Gateway,VPN Gateway,Cloud VPN,VPN Gateway,IBM Cloud VPN,Secure site-to-site connectivity
Security,Identity & Access,IAM,Azure AD,Cloud IAM,Identity and Access Management,IBM Cloud IAM,User and access management
Security,Key Management,KMS,Key Vault,Cloud KMS,Vault,IBM Cloud Key Protect,Encryption key management
AI/ML,Machine Learning,SageMaker,Azure ML,Vertex AI,Oracle AI Platform,IBM Watson Studio,Managed ML platforms
AI/ML,Speech Services,Transcribe,Speech Services,Speech-to-Text,Oracle Speech,IBM Speech to Text,Speech recognition and synthesis
Monitoring,Observability,CloudWatch,Application Insights,Cloud Monitoring,Oracle Cloud Monitoring,IBM Cloud Monitoring,Application and infrastructure monitoring 